"","SeqId","Target","ExternalCalibratorReference0x2ESL14381_8d0x2Exlsx","medianQCreplicate","madNQCreplicate","mLLOD","mULOD","RRCIratio","mLLOQ","mULOQ","n","L95ref_L90CI","L95ref_U90CI","L95ref","U95ref","U95ref_L90CI","U95ref_U90CI","ColNum"
"complement.factor.H.related.5.3666.17.4","3666-17_4","complement factor H-related 5",798.546112903074,2.98,0.04,NA,NA,4.8369,NA,NA,168,2.693,2.81,2.776,3.258,3.226,3.308,619
"IGF.II.receptor.3676.15.3","3676-15_3","IGF-II receptor",44045.3433678407,4.77,0.02,NA,NA,5.7521,NA,NA,168,4.522,4.56,4.543,4.869,4.849,4.91,620
"kallikrein.14.3681.87.3","3681-87_3","kallikrein 14",5030.37081084625,3.61,0.06,3.978,3.725,4.1648,NA,NA,168,3.639,3.684,3.668,4.034,3.992,4.09,621
"Macrophage.scavenger.receptor.3684.78.3","3684-78_3","Macrophage scavenger receptor",1427.57850442176,3.03,0.05,3.375,3.193,5.0315,NA,NA,168,3.145,3.176,3.169,3.392,3.366,3.417,622
"MFRP.3685.53.1","3685-53_1","MFRP",699.68086997856,2.85,0.03,NA,NA,5.7294,NA,NA,168,2.838,2.887,2.867,3.328,3.286,3.369,623
"IgG.3700.15.4","3700-15_4","IgG",24445.5605318343,4.34,0.02,NA,NA,7.383,NA,NA,168,4.241,4.274,4.264,4.614,4.594,4.643,624
"Albumin.3707.12.2","3707-12_2","Albumin",11534.5325782109,4.06,0.02,NA,NA,4.987,NA,NA,168,3.907,3.964,3.944,4.283,4.256,4.324,625
"a2.Macroglobulin.3708.62.1","3708-62_1","a2-Macroglobulin",10363.3460443104,4.05,0.04,NA,NA,6.5034,NA,NA,168,3.692,3.808,3.776,4.363,4.319,4.391,626
"ALT.3709.4.2","3709-4_2","ALT",4155.27719020433,3.6,0.02,NA,NA,4.773,NA,NA,168,3.623,3.656,3.644,4.111,4.063,4.17,627
"Angiostatin.3710.49.2","3710-49_2","Angiostatin",17278.2598050786,4.29,0.01,NA,NA,4.9075,NA,NA,168,4.014,4.123,4.11,4.424,4.409,4.451,628
"CK.MB.3714.49.2","3714-49_2","CK-MB",978.137704322986,3.22,0.02,NA,NA,6.4788,NA,NA,168,2.449,2.619,2.594,3.697,3.633,3.746,629
"IFN.g.R1.3716.63.2","3716-63_2","IFN-g R1",383.089280638415,2.44,0.04,NA,NA,5.6064,NA,NA,168,2.487,2.523,2.51,2.898,2.873,2.948,630
"LUCI.PHOPY.3717.23.2","3717-23_2","LUCI_PHOPY",435.61216554647,2.48,0.03,NA,NA,4.8027,NA,NA,168,2.643,2.68,2.658,3.009,2.976,3.058,631
"p27Kip1.3719.2.2","3719-2_2","p27Kip1",959.842553582907,2.79,0.02,NA,NA,5.5624,NA,NA,168,2.824,2.879,2.862,3.361,3.341,3.426,632
"HLA.STAAU.3720.67.1","3720-67_1","HLA_STAAU",207.252605958257,2.5,0.04,NA,NA,8.6038,NA,NA,168,2.022,2.039,2.031,3.018,2.957,3.049,633
"NOH4.RHIML.3721.5.2","3721-5_2","NOH4_RHIML",325.761682966063,2.42,0.04,2.742,NA,5.7997,NA,NA,28,2.742,2.742,2.742,2.857,2.843,2.877,634
"TNF.a.3722.49.2","3722-49_2","TNF-a",473.805393338826,2.37,0.03,NA,NA,3.9904,NA,NA,168,2.439,2.48,2.459,2.817,2.764,2.868,635
"BNP.32.3723.1.2","3723-1_2","BNP-32",259.417936211882,2.28,0.02,NA,NA,5.4612,NA,NA,168,2.43,2.445,2.439,2.809,2.768,2.853,636
"EXE4.HELSU.3724.64.1","3724-64_1","EXE4_HELSU",604.226822049881,2.51,0.03,NA,NA,6.7037,NA,NA,168,2.573,2.595,2.587,2.931,2.897,2.959,637
"PTH.3726.62.4","3726-62_4","PTH",186.55203891006,2.18,0.02,NA,NA,5.397,NA,NA,168,2.201,2.228,2.219,2.56,2.525,2.6,638
"PYY.3727.35.1","3727-35_1","PYY",1477.40648158961,3.13,0.02,NA,NA,4.7064,NA,NA,168,2.636,2.758,2.713,3.414,3.378,3.496,639
"Secretin.3728.52.2","3728-52_2","Secretin",188.495071769867,2.21,0.02,NA,NA,4.7077,NA,NA,168,2.185,2.23,2.219,2.557,2.5,2.582,640
"Somatostatin.28.3729.16.2","3729-16_2","Somatostatin-28",424.521802934084,2.5,0.02,NA,NA,4.9168,NA,NA,168,2.602,2.63,2.617,2.902,2.861,2.932,641
"TNR4.3730.81.2","3730-81_2","TNR4",372.048878720087,2.47,0.02,NA,NA,7.7334,NA,NA,168,2.533,2.564,2.546,2.867,2.838,2.882,642
"BMP.6.3736.60.3","3736-60_3","BMP-6",1844.16595379101,3.23,0.04,3.453,NA,1.5355,NA,NA,28,3.453,3.453,3.453,3.585,3.453,3.618,643
"Cathepsin.H.3737.6.3","3737-6_3","Cathepsin H",2964.83138952434,3.41,0.03,NA,NA,7.5735,NA,NA,168,3.435,3.451,3.445,3.739,3.709,3.758,644
"CSF.1.3738.54.1","3738-54_1","CSF-1",994.260073952957,2.91,0.03,NA,NA,10.7458,NA,NA,168,2.963,2.985,2.979,3.276,3.26,3.289,645
"gpIIbIIIa.3739.72.1","3739-72_1","gpIIbIIIa",6286.3708841305,3.92,0.03,NA,NA,7.1794,NA,NA,168,3.878,3.987,3.939,4.91,4.882,4.974,646
"IL.5.3741.4.3","3741-4_3","IL-5",3165.19156722626,3.47,0.06,3.9,3.654,4.7835,NA,NA,168,3.586,3.654,3.631,3.923,3.904,3.958,647
"NIGB.SAMNI.3742.78.3","3742-78_3","NIGB_SAMNI",2289.81291210797,3.33,0.03,NA,NA,5.5194,NA,NA,168,3.104,3.197,3.15,3.595,3.564,3.631,648
"MMP.10.3743.1.2","3743-1_2","MMP-10",367.790070422386,2.43,0.02,NA,NA,6.7384,NA,NA,168,2.536,2.565,2.549,2.909,2.876,2.936,649
"APOA1.MOUSE.3748.74.1","3748-74_1","APOA1_MOUSE",1023.52864132879,3.01,0.04,NA,NA,11.9901,NA,NA,168,2.913,2.941,2.933,3.395,3.377,3.415,650
"Activated.Protein.C.3758.63.3","3758-63_3","Activated Protein C",367.113199687964,2.65,0.03,NA,NA,5.2408,NA,NA,168,2.49,2.542,2.524,2.792,2.777,2.824,651
"Activated.Protein.C.3758.68.3","3758-68_3","Activated Protein C",529.297691687475,2.69,0.03,NA,NA,4.5693,NA,NA,168,2.723,2.76,2.743,3.01,2.988,3.053,652
"COX.2.3761.4.2","3761-4_2","COX-2",497.2788632334,2.58,0.02,NA,NA,3.8559,NA,NA,168,2.742,2.781,2.763,3.008,2.98,3.053,653
"STX1a.3766.51.4","3766-51_4","STX1a",363.412616064223,2.52,0.02,NA,NA,5.9629,NA,NA,168,2.616,2.633,2.623,2.844,2.82,2.868,654
"sTie.2.3773.15.4","3773-15_4","sTie-2",2146.34731772398,3.41,0.03,NA,NA,11.0305,NA,NA,168,3.183,3.229,3.218,3.559,3.547,3.569,655
"ADAM.9.3795.6.2","3795-6_2","ADAM 9",2344.22881531992,3.41,0.04,NA,NA,5.1807,NA,NA,168,3.258,3.335,3.311,3.699,3.677,3.744,656
"ANGL4.3796.79.2","3796-79_2","ANGL4",1455.12398732424,3.15,0.03,NA,NA,7.2217,NA,NA,168,3.175,3.198,3.189,3.507,3.487,3.538,657
"Cadherin.2.3797.1.1","3797-1_1","Cadherin-2",1285.58264220887,3.07,0.04,NA,NA,11.3261,NA,NA,168,3.092,3.122,3.106,3.483,3.468,3.5,658
"Carbonic.anhydrase.9.3798.71.1","3798-71_1","Carbonic anhydrase 9",2380.67438962545,2.81,0.05,NA,NA,6.6557,NA,NA,168,2.851,2.874,2.863,3.397,3.35,3.436,659
"Carbonic.anhydrase.III.3799.11.2","3799-11_2","Carbonic anhydrase III",2402.14931953226,3.39,0.02,NA,NA,5.3277,NA,NA,168,3.053,3.154,3.103,3.764,3.704,3.811,660
"CK.BB.3800.71.2","3800-71_2","CK-BB",577.03213533293,2.63,0.03,NA,NA,4.812,NA,NA,168,2.564,2.588,2.581,3.008,2.956,3.06,661
"Cystatin.S.3802.50.1","3802-50_1","Cystatin-S",277.587560353434,2.58,0.06,2.572,NA,2.7148,NA,NA,37,2.572,2.572,2.572,2.734,2.683,2.782,662
"CYTD.3803.10.2","3803-10_2","CYTD",5487.82179291458,3.64,0.06,NA,NA,6.3558,NA,NA,168,3.35,3.444,3.401,4.208,4.158,4.258,663
"DMP1.3804.66.2","3804-66_2","DMP1",307.184996423446,2.43,0.03,NA,NA,5.7859,NA,NA,168,2.401,2.438,2.426,2.79,2.752,2.822,664
"Endocan.3805.16.2","3805-16_2","Endocan",1081.18497059447,2.92,0.02,NA,NA,11.3766,NA,NA,168,2.796,2.832,2.813,3.23,3.214,3.248,665
"EphA5.3806.55.1","3806-55_1","EphA5",573.455866545965,2.69,0.02,NA,NA,4.1128,NA,NA,168,2.687,2.713,2.705,3.016,2.976,3.069,666
"FGF23.3807.1.2","3807-1_2","FGF23",656.4475019517,2.74,0.02,NA,NA,6.0474,NA,NA,168,2.621,2.67,2.652,3.208,3.159,3.25,667
"FGFR.2.3808.76.2","3808-76_2","FGFR-2",317.614265257288,2.29,0.02,NA,NA,7.4386,NA,NA,168,2.256,2.285,2.27,2.761,2.728,2.798,668
"FGFR.3.3809.1.2","3809-1_2","FGFR-3",464.301407281803,2.56,0.03,NA,NA,7.0266,NA,NA,168,2.61,2.631,2.623,2.976,2.96,3.017,669
"FGR.3810.50.2","3810-50_2","FGR",417.926586721306,2.26,0.02,NA,NA,4.3721,NA,NA,168,2.406,2.501,2.482,3.211,3.133,3.279,670
"Ficolin.3.3811.1.2","3811-1_2","Ficolin-3",1551.67227390723,3.25,0.02,NA,NA,5.5474,NA,NA,168,2.804,2.967,2.913,3.429,3.395,3.458,671
"FYN.3813.3.2","3813-3_2","FYN",1339.05988554674,3.3,0.03,NA,NA,10.2295,NA,NA,168,3.303,3.495,3.456,4.569,4.535,4.601,672
"IL.11.RA.3814.63.1","3814-63_1","IL-11 RA",6795.16489481525,3.87,0.02,NA,NA,4.6757,NA,NA,168,3.52,3.599,3.575,4.166,4.122,4.237,673
"IL.12.RB2.3815.14.1","3815-14_1","IL-12 RB2",2097.97350861925,3.05,0.03,NA,NA,5.5506,NA,NA,168,2.859,2.887,2.878,3.231,3.192,3.267,674
"KPCT.3817.18.1","3817-18_1","KPCT",996.781571151295,3.7,0.07,NA,NA,11.9335,NA,NA,168,3.204,3.293,3.242,4.27,4.255,4.31,675
"MAPK2.3820.68.2","3820-68_2","MAPK2",1106.36900376859,3.25,0.03,NA,NA,9.6799,NA,NA,168,3.394,3.509,3.45,4.522,4.501,4.571,676
"MAPK5.3821.28.1","3821-28_1","MAPK5",619.013328096726,2.59,0.02,NA,NA,6.5216,NA,NA,168,2.664,2.704,2.682,3.191,3.165,3.242,677
"MAPKAPK3.3822.54.2","3822-54_2","MAPKAPK3",478.189460665908,3,0.02,NA,NA,4.6229,NA,NA,168,2.74,2.787,2.772,3.672,3.628,3.776,678
"MATK.3823.9.1","3823-9_1","MATK",432.713056884906,2.43,0.02,NA,NA,3.7959,NA,NA,168,2.527,2.543,2.537,2.823,2.791,2.889,679
"MK08.3825.18.2","3825-18_2","MK08",1019.5299775626,2.58,0.02,NA,NA,8.7029,NA,NA,168,2.805,2.843,2.83,3.751,3.725,3.806,680
"PAK6.3827.22.1","3827-22_1","PAK6",644.465984741688,3.02,0.05,NA,NA,7.1556,NA,NA,168,3.05,3.228,3.155,4.667,4.619,4.729,681
"PDGF.CC.3828.54.2","3828-54_2","PDGF-CC",465.693311026202,2.5,0.02,NA,NA,5.5939,NA,NA,168,2.495,2.537,2.52,2.955,2.912,2.995,682
"pTEN.3831.21.1","3831-21_1","pTEN",585.868300057376,2.49,0.03,NA,NA,5.4458,NA,NA,168,2.603,2.663,2.64,3.157,3.129,3.218,683
"PTK6.3832.51.1","3832-51_1","PTK6",505.358994753168,2.39,0.02,NA,NA,8.4242,NA,NA,168,2.447,2.478,2.462,2.773,2.746,2.785,684
"RGMA.3833.10.2","3833-10_2","RGMA",25211.5763080741,4.38,0.03,NA,NA,5.932,NA,NA,168,4.086,4.138,4.106,4.652,4.617,4.705,685
"TLR2.3835.11.2","3835-11_2","TLR2",682.181597938182,2.77,0.04,2.98,NA,2.5047,NA,NA,31,2.98,2.98,2.98,3.046,3.027,3.076,686
"UFM1.3836.51.2","3836-51_2","UFM1",1021.17459077795,2.99,0.03,NA,NA,10.5584,NA,NA,168,3.211,3.275,3.248,4.107,4.073,4.135,687
"ZAP70.3837.6.2","3837-6_2","ZAP70",446.889344919767,2.49,0.05,2.9,NA,1.365,NA,NA,25,2.9,2.9,2.9,2.99,2.938,3.055,688
"AIP.3839.60.2","3839-60_2","AIP",1704.11931931554,3.34,0.03,NA,NA,7.3289,NA,NA,168,3.415,3.516,3.492,4.45,4.396,4.492,689
"Cyclophilin.A.3844.2.1","3844-2_1","Cyclophilin A",36509.0052484499,4.64,0.03,NA,NA,8.4113,NA,NA,168,4.74,4.818,4.796,5.401,5.381,5.439,690
"DLRB1.3845.51.2","3845-51_2","DLRB1",890.430443593742,2.96,0.02,NA,NA,6.315,NA,NA,168,3.143,3.222,3.181,4.221,4.179,4.293,691
"ETHE1.3847.56.2","3847-56_2","ETHE1",3052.81157716267,3.46,0.03,NA,NA,6.0181,NA,NA,168,3.372,3.422,3.404,3.691,3.678,3.721,692
"GAPDH..liver.3848.14.2","3848-14_2","GAPDH, liver",24372.4955630392,4.52,0.03,NA,NA,9.7356,NA,NA,168,4.564,4.671,4.603,5.4,5.384,5.44,693
"GFP.AEQVI.3849.56.2","3849-56_2","GFP_AEQVI",270.76966023305,2.46,0.01,NA,NA,3.9516,NA,NA,168,2.501,2.554,2.537,3.163,3.108,3.256,694
"HSP.40.3852.19.2","3852-19_2","HSP 40",273.652865419247,2.42,0.02,NA,NA,5.7711,NA,NA,168,2.526,2.581,2.567,3.206,3.156,3.259,695
"MDHC.3853.56.1","3853-56_1","MDHC",13583.1344658715,4.23,0.02,NA,NA,7.2218,NA,NA,168,4.063,4.177,4.145,4.792,4.76,4.828,696
"NACA.3854.24.1","3854-24_1","NACA",2062.52869784657,3.28,0.04,NA,NA,5.8283,NA,NA,168,3.372,3.481,3.445,4.323,4.272,4.386,697
"Peroxiredoxin.1.3855.56.1","3855-56_1","Peroxiredoxin-1",980.166826866284,2.97,0.04,NA,NA,5.7882,NA,NA,168,2.99,3.071,3.038,3.891,3.841,3.956,698
"PPAC.3858.5.1","3858-5_1","PPAC",1847.56616376603,2.86,0.02,NA,NA,11.7586,NA,NA,168,2.993,3.067,3.029,4.192,4.153,4.218,699
"PSA1.3859.50.2","3859-50_2","PSA1",546.134987505724,2.72,0.02,NA,NA,5.3352,NA,NA,168,2.824,2.854,2.841,3.05,3.032,3.075,700
"PSA6.3860.7.2","3860-7_2","PSA6",251.246488132877,2.39,0.03,NA,NA,5.9797,NA,NA,168,2.512,2.561,2.543,3.213,3.169,3.271,701
"RS7.3864.5.2","3864-5_2","RS7",557.18574893193,2.69,0.02,NA,NA,6.0391,NA,NA,168,2.784,2.858,2.836,3.336,3.295,3.371,702
"RSK.like.protein.kinase.3865.53.1","3865-53_1","RSK-like protein kinase",168.267406107047,2.16,0.02,NA,NA,5.8947,NA,NA,168,2.239,2.321,2.289,2.948,2.886,2.986,703
"SBDS.3866.7.2","3866-7_2","SBDS",931.322295664323,3.1,0.01,NA,NA,7.9328,NA,NA,168,3.261,3.42,3.352,4.511,4.471,4.561,704
"SE6L2.3867.49.1","3867-49_1","SE6L2",1217.86738489126,2.72,0.02,NA,NA,6.0457,NA,NA,168,2.911,2.967,2.937,3.646,3.597,3.701,705
"SGTA.3868.8.1","3868-8_1","SGTA",935.405674147552,2.82,0.02,NA,NA,7.7728,NA,NA,168,2.963,3.089,3.046,4.013,3.965,4.052,706
"TCTP.3872.2.1","3872-2_1","TCTP",1852.25169125297,3.38,0.02,NA,NA,6.2637,NA,NA,168,3.49,3.608,3.536,4.663,4.607,4.725,707
"TMA.3873.51.2","3873-51_2","TMA",1090.93782531538,3.02,0.04,3.265,NA,1.8222,NA,NA,16,3.265,3.265,3.265,3.299,3.283,3.318,708
"UB2L3.3874.8.1","3874-8_1","UB2L3",671.274268517048,2.78,0.02,NA,NA,5.7282,NA,NA,168,2.944,3.005,2.965,3.788,3.742,3.858,709
"ARI3A.3875.62.1","3875-62_1","ARI3A",662.826708608273,2.84,0.02,NA,NA,5.1424,NA,NA,168,2.718,2.781,2.753,3.482,3.447,3.566,710
"ASGR1.3876.15.2","3876-15_2","ASGR1",197.060690398911,2.28,0.01,NA,NA,3.9,NA,NA,168,2.308,2.34,2.333,2.512,2.503,2.555,711
"CaMKK.alpha.3877.67.2","3877-67_2","CaMKK alpha",145.915020334766,2.13,0.03,NA,NA,6.0291,NA,NA,168,2.172,2.301,2.286,2.876,2.85,2.926,712
"CDC37.3879.50.1","3879-50_1","CDC37",436.817470864913,2.45,0.01,NA,NA,7.5773,NA,NA,168,2.518,2.552,2.541,3.032,3.001,3.067,713
"DLC8.3881.49.2","3881-49_2","DLC8",627.335695984038,2.5,0.02,NA,NA,2.4407,NA,NA,168,2.57,2.61,2.596,2.812,2.783,2.891,714
"EF.1.beta.3882.10.1","3882-10_1","EF-1-beta",633.286164452198,2.95,0.04,NA,NA,9.595,NA,NA,168,2.926,2.994,2.966,3.736,3.71,3.773,715
"eIF.5A.1.3884.5.1","3884-5_1","eIF-5A-1",1645.50800737356,3.22,0.03,NA,NA,8.1525,NA,NA,168,3.355,3.436,3.395,4.327,4.288,4.372,716
"HINT1.3886.72.1","3886-72_1","HINT1",402.161044334213,2.53,0.02,NA,NA,6.4053,NA,NA,168,2.378,2.445,2.436,2.859,2.835,2.894,717
"IMB1.3887.90.2","3887-90_2","IMB1",2524.64314594825,3.48,0.03,NA,NA,8.467,NA,NA,168,3.531,3.655,3.596,4.627,4.591,4.672,718
"ING1.3888.8.1","3888-8_1","ING1",2561.53326408795,3.43,0.02,NA,NA,16.2713,NA,NA,168,3.563,3.638,3.605,4.512,4.497,4.534,719
"Lamin.B1.3889.64.2","3889-64_2","Lamin-B1",430.824110479373,2.65,0.02,NA,NA,4.2406,NA,NA,168,2.724,2.76,2.748,3.035,3.007,3.086,720
"LDH.H.1.3890.8.2","3890-8_2","LDH-H 1",982.878873000033,2.97,0.04,NA,NA,4.0932,NA,NA,168,2.977,3.041,3.014,3.617,3.591,3.722,721
"MBD4.3891.56.1","3891-56_1","MBD4",1388.35330992905,2.78,0.02,NA,NA,5.5194,NA,NA,168,2.88,2.918,2.905,3.324,3.267,3.353,722
"MED.1.3892.21.2","3892-21_2","MED-1",544.126653615446,2.58,0.02,NA,NA,6.3224,NA,NA,168,2.545,2.589,2.572,2.94,2.921,2.979,723
"Mesothelin.3893.55.2","3893-55_2","Mesothelin",2558.58588690565,3.35,0.03,NA,NA,4.6804,NA,NA,168,3.213,3.247,3.234,3.634,3.58,3.679,724
"Mesothelin.3893.64.1","3893-64_1","Mesothelin",641.948221508036,2.66,0.02,NA,NA,7.3105,NA,NA,168,2.585,2.615,2.598,3.065,3.041,3.108,725
"NAGK.3894.15.2","3894-15_2","NAGK",641.800424483918,2.86,0.02,NA,NA,4.1203,NA,NA,168,2.738,2.84,2.808,3.358,3.334,3.448,726
"Phosphoglycerate.mutase.1.3896.5.2","3896-5_2","Phosphoglycerate mutase 1",1075.47420897279,3.35,0.03,NA,NA,4.7186,NA,NA,168,2.606,2.803,2.773,4.264,4.205,4.368,727
"PLPP.3897.61.1","3897-61_1","PLPP",932.395137540633,2.96,0.02,NA,NA,6.1248,NA,NA,168,3.114,3.182,3.143,4.094,4.051,4.165,728
"PSD7.3898.5.2","3898-5_2","PSD7",208.545104769317,2.4,0.03,NA,NA,6.3438,NA,NA,168,2.42,2.437,2.427,2.632,2.62,2.659,729
"SKP1.3902.21.2","3902-21_2","SKP1",1524.05275379729,3.17,0.02,NA,NA,7.4467,NA,NA,168,3.263,3.305,3.291,3.919,3.884,3.962,730
"Sorting.nexin.4.3903.49.2","3903-49_2","Sorting nexin 4",2111.54334065884,3.28,0.02,NA,NA,14.2334,NA,NA,168,3.349,3.573,3.535,4.603,4.587,4.626,731
"UBE2N.3905.62.1","3905-62_1","UBE2N",1987.00975850116,3.3,0.02,NA,NA,5.1513,NA,NA,168,3.306,3.417,3.384,4.421,4.351,4.493,732
"discoidin.domain.receptor.1.4122.12.2","4122-12_2","discoidin domain receptor 1",259.298497341253,2.36,0.02,NA,NA,4.7862,NA,NA,168,2.317,2.357,2.336,2.609,2.582,2.645,733
"FGF.4.4123.60.2","4123-60_2","FGF-4",237.903044588062,2.32,0.02,NA,NA,4.2,NA,NA,168,2.453,2.477,2.469,2.734,2.708,2.787,734
"HSP.70.4124.24.2","4124-24_2","HSP 70",7935.96968195769,3.95,0.02,NA,NA,4.1656,NA,NA,168,3.662,3.708,3.684,4.137,4.111,4.222,735
"sRAGE.4125.52.2","4125-52_2","sRAGE",851.334042543229,2.8,0.02,NA,NA,7.7996,NA,NA,168,2.357,2.422,2.397,3.185,3.153,3.234,736
"BPI.4126.22.1","4126-22_1","BPI",801.862677837201,2.69,0.02,NA,NA,6.722,NA,NA,168,2.609,2.716,2.666,3.364,3.319,3.402,737
"C6.4127.75.1","4127-75_1","C6",121366.827574168,5.08,0.05,NA,4.999,2.5403,NA,NA,17,4.799,4.931,4.854,4.999,4.999,4.999,738
"Eotaxin.2.4128.27.2","4128-27_2","Eotaxin-2",320.184275820278,2.48,0.03,2.69,NA,4.4383,NA,NA,21,2.69,2.69,2.69,2.777,2.761,2.796,739
"Factor.B.4129.72.1","4129-72_1","Factor B",24524.4908607202,4.42,0.02,NA,NA,4.8052,NA,NA,168,4.24,4.318,4.301,4.579,4.56,4.606,740
"FGF.6.4130.71.1","4130-71_1","FGF-6",342.05819525675,2.47,0.02,NA,NA,7.0945,NA,NA,168,2.566,2.646,2.637,3.072,3.041,3.092,741
"Fibronectin.4131.72.2","4131-72_2","Fibronectin",6075.75146105741,4.15,0.07,NA,NA,8.5764,NA,NA,168,3.95,4.034,3.983,4.698,4.676,4.74,742
"FST.4132.27.2","4132-27_2","FST",622.586931038744,2.7,0.03,NA,NA,3.1223,NA,NA,168,2.765,2.818,2.804,3.018,3.002,3.075,743
"Granzyme.B.4133.54.2","4133-54_2","Granzyme B",195.704134148068,2.24,0.02,NA,NA,5.0166,NA,NA,168,2.241,2.284,2.27,2.496,2.479,2.523,744
"HB.EGF.4134.4.2","4134-4_2","HB-EGF",176.603782068616,2.22,0.02,2.445,NA,2.8009,NA,NA,34,2.445,2.445,2.445,2.497,2.484,2.519,745
"IgE.4135.84.2","4135-84_2","IgE",8466.42372265913,3.39,0.01,NA,NA,6.8993,NA,NA,168,2.259,2.61,2.456,4.595,4.539,4.66,746
"IL.17D.4136.40.2","4136-40_2","IL-17D",341.350072949311,2.56,0.02,NA,NA,4.119,NA,NA,168,2.534,2.549,2.543,2.848,2.806,2.904,747
"IL.17E.4137.57.2","4137-57_2","IL-17E",392.825796716279,2.56,0.03,NA,NA,8.5468,NA,NA,168,2.455,2.503,2.487,2.985,2.972,3.025,748
"IL.20.4138.25.2","4138-25_2","IL-20",393.187769314697,2.58,0.02,NA,NA,3.6213,NA,NA,168,2.669,2.696,2.689,2.876,2.848,2.914,749
"IL.6.sRa.4139.71.2","4139-71_2","IL-6 sRa",20072.4322164329,4.44,0.02,NA,NA,10.5949,NA,NA,168,4.064,4.121,4.097,4.565,4.551,4.586,750
"IL.7.4140.3.2","4140-3_2","IL-7",187.542629121675,2.25,0.02,NA,NA,3.7225,NA,NA,168,2.245,2.288,2.269,2.447,2.431,2.48,751
"IP.10.4141.79.1","4141-79_1","IP-10",1798.04269517744,3.16,0.02,NA,NA,7.3473,NA,NA,168,3.163,3.205,3.187,3.693,3.656,3.724,752
"Lymphotactin.4143.74.2","4143-74_2","Lymphotactin",311.171633710602,2.47,0.02,NA,NA,4.0881,NA,NA,168,2.565,2.591,2.578,2.776,2.749,2.81,753
"MCP.4.4144.13.1","4144-13_1","MCP-4",255.387713577932,2.42,0.02,NA,NA,4.2262,NA,NA,168,2.437,2.467,2.46,2.805,2.748,2.849,754
"Neurotrophin.3.4145.58.2","4145-58_2","Neurotrophin-3",333.272899576138,2.51,0.02,NA,NA,3.7612,NA,NA,168,2.538,2.585,2.576,2.823,2.777,2.852,755
"Neurotrophin.5.4146.58.2","4146-58_2","Neurotrophin-5",253.162863912695,2.36,0.02,NA,NA,3.8682,NA,NA,168,2.147,2.218,2.205,2.485,2.434,2.508,756
"PAPP.A.4148.49.2","4148-49_2","PAPP-A",11697.6870921149,4.02,0.02,NA,NA,10.1012,NA,NA,168,3.713,3.794,3.748,4.51,4.481,4.538,757
"PDGF.BB.4149.8.2","4149-8_2","PDGF-BB",26411.9216327174,3.92,0.04,NA,NA,13.1028,NA,NA,168,3.631,3.793,3.721,5.019,5,5.054,758
"Plasmin.4150.75.2","4150-75_2","Plasmin",367.53609777148,2.52,0.03,NA,NA,4.2131,NA,NA,168,2.621,2.656,2.643,2.881,2.855,2.92,759
"Plasminogen.4151.6.2","4151-6_2","Plasminogen",2578.69512956587,3.44,0.02,NA,NA,6.7761,NA,NA,168,3.34,3.354,3.35,3.571,3.557,3.599,760
"Prekallikrein.4152.58.2","4152-58_2","Prekallikrein",40738.0277804113,4.7,0.03,NA,NA,7.8291,NA,NA,168,4.361,4.446,4.422,4.726,4.719,4.734,761
"PSA.ACT.4153.11.2","4153-11_2","PSA-ACT",5606.60551647698,3.83,0.02,NA,NA,5.9666,NA,NA,168,3.589,3.651,3.626,3.947,3.93,3.976,762
"P.Selectin.4154.57.2","4154-57_2","P-Selectin",10389.6280490904,3.97,0.02,NA,NA,4.8723,NA,NA,168,3.812,3.98,3.952,4.553,4.526,4.618,763
"Tenascin.4155.3.2","4155-3_2","Tenascin",25491.7705050912,4.57,0.02,NA,NA,4.7806,NA,NA,168,4.11,4.17,4.133,4.72,4.683,4.797,764
"TGF.b2.4156.74.1","4156-74_1","TGF-b2",354.895097442304,2.37,0.03,NA,NA,7.5786,NA,NA,168,2.446,2.485,2.475,2.818,2.797,2.842,765
"Thrombin.4157.2.1","4157-2_1","Thrombin",910.122812029188,2.9,0.03,NA,NA,6.8253,NA,NA,168,2.629,2.674,2.655,3.258,3.209,3.294,766
"uPA.4158.54.2","4158-54_2","uPA",3614.09862639613,3.64,0.03,NA,NA,6.7978,NA,NA,168,3.292,3.369,3.332,3.842,3.823,3.886,767
"Factor.H.4159.130.1","4159-130_1","Factor H",49899.9373084596,4.74,0.03,NA,4.698,2.3794,NA,NA,35,4.571,4.641,4.624,4.698,4.698,4.698,768
"MMP.2.4160.49.1","4160-49_1","MMP-2",4623.8102139926,3.67,0.02,NA,NA,5.9227,NA,NA,168,3.417,3.493,3.466,3.818,3.798,3.846,769
"Transferrin.4162.54.2","4162-54_2","Transferrin",249919.417519583,5.42,0.04,5.475,5.319,5.4047,NA,NA,168,5.286,5.309,5.3,5.522,5.499,5.55,770
"Histone.H2A.z.4163.5.2","4163-5_2","Histone H2A.z",899.911910870052,3.03,0.03,NA,NA,4.3486,NA,NA,168,2.763,2.839,2.797,3.383,3.283,3.42,771
"Thyroglobulin.4165.2.1","4165-2_1","Thyroglobulin",174.140585370833,2.22,0.02,NA,NA,6.1352,NA,NA,168,2.254,2.282,2.27,2.461,2.447,2.479,772
"14.3.3.4179.57.3","4179-57_3","14-3-3",1216.74620397913,NA,NA,NA,NA,9.7821,NA,NA,168,3.305,3.462,3.431,4.396,4.368,4.432,773
